election,year,n_seats,n_blocs,enp_votes,enp_seats,gallagher,volatility,turnout,winner,winner_vote_pc,winner_seat_pc,winner_seat_bonus
GE-00,1955,52,8,1.48,1.04,13.24,,82.6,PERIKATAN,81.7,98.1,16.4
GE-01,1959,104,7,2.97,1.89,15.67,38.8,73.9,PERIKATAN,51.8,71.2,19.4
GE-02,1964,104,8,2.54,1.35,22.17,16.28,79.2,PERIKATAN,58.5,85.6,27.0
GE-03,1969,144,11,3.56,2.41,14.98,35.05,74.6,PERIKATAN,46.3,62.5,16.2
GE-04,1974,154,8,2.42,1.29,21.82,37.27,75.0,BN,60.7,87.7,26.9
GE-05,1978,154,16,2.56,1.38,22.12,18.53,74.4,BN,57.2,84.4,27.2
GE-06,1982,154,12,2.34,1.35,21.81,4.69,73.9,BN,60.5,85.7,25.2
GE-07,1986,177,7,2.46,1.39,22.97,19.97,69.2,BN,57.3,83.6,26.3
GE-08,1990,180,7,2.65,1.85,15.46,43.45,72.4,BN,53.4,70.6,17.2
GE-09,1995,192,5,2.08,1.38,16.39,11.87,71.6,BN,65.2,84.4,19.2
GE-10,1999,193,8,2.07,1.57,19.38,42.9,71.2,BN,56.5,76.7,20.2
GE-11,2004,219,9,2.1,1.22,23.98,18.63,73.5,BN,63.8,90.4,26.6
GE-12,2008,222,6,2.04,1.87,11.12,23.52,75.1,BN,51.4,63.1,11.7
GE-13,2013,222,10,2.07,1.92,11.71,4.4,83.9,BN,47.4,59.9,12.5
GE-14,2018,222,18,2.84,2.54,7.42,19.95,81.1,PH,45.7,50.9,5.2
GE-15,2022,222,18,3.48,3.6,7.94,37.43,73.4,PH,38.0,36.9,-1.1
